Tên trang sức	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	Phòng ngự (Nội, ngoại)	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Đánh giá đẳng cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30321	30	40000	0	200						31585	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30322	30	40000	0	200						31586	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30323	30	40000	0	200						31587	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30324	30	40000	0	200						31588	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30325	30	40000	0	200						31589	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30326	30	40000	0	200						31590	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30327	30	40000	0	200						31591	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30328	30	40000	0	200						31592	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30329	30	40000	0	200						31593	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30330	30	40000	0	200						31594	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30331	30	40000	0	200						31595	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30332	30	40000	0	200						31596	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30333	30	40000	0	200						31597	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30334	30	40000	0	200						31598	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30335	30	40000	0	200						31599	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30336	30	40000	0	200						31600	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30337	30	40000	0	200						31601	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30338	30	40000	0	200						31602	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30339	30	40000	0	200						31603	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30340	30	40000	0	200						31604	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30341	30	40000	0	200						31605	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30342	30	40000	0	200						31606	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30343	30	40000	0	200						31607	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30344	30	40000	0	200						31608	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30345	30	40000	0	200						31609	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30346	30	40000	0	200						31610	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30347	30	40000	0	200						31611	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30348	30	40000	0	200						31612	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30349	30	40000	0	200						31613	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30350	30	40000	0	200						31614	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30351	30	40000	0	200						31615	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30352	30	40000	0	200						31616	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30353	30	40000	0	200						31617	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30354	30	40000	0	200						31618	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Kỳ	0	102	30355	30	40000	0	200						31619	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂÁợặỡ2_A1.spr	\image\item\ring\ÀìằÂÁợặỡ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30356	30	40000	0	200						31556	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30357	30	40000	0	200						31557	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30358	30	40000	0	200						31558	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30359	30	40000	0	200						31559	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30360	30	40000	0	200						31560	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30361	30	40000	0	200						31561	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30362	30	40000	0	200						31562	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30363	30	40000	0	200						31563	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30364	30	40000	0	200						31564	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30365	30	40000	0	200						31565	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30366	30	40000	0	200						31566	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30367	30	40000	0	200						31567	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30368	30	40000	0	200						31568	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30369	30	40000	0	200						31569	690	2	4	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30370	30	40000	0	200						31570	690	1	1	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30371	30	40000	0	200						31571	690	1	2	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tống_Hỏa Phụng Tướng Quân Lệnh Phù	0	102	30372	30	40000	0	200						31572	690	2	3	Tân thủ không thể dùng	\image\item\ring\ÀìằÂằÂãỷ2_A1.spr	\image\item\ring\ÀìằÂằÂãỷ2_A0.spr	"Tứ Linh Thần-Hỏa Phụng ban cho Trang Sức <color=Gold>(Cần đạt quân hàm Tướng Quân hoặc Công Trạng đạt đến 3,000,000)"		Đã khóa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
