Tên Mão	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Ngũ hành	Độ bền	(Ngoại, nội) phòng	Thuộc tính hỗ trợ 1	Trị số Thuộc tính hỗ trợ 1	Thuộc tính hỗ trợ 2	Trị số Thuộc tính hỗ trợ 2	Số trang bị	Đắng cấp yêu cầu	Giới tính yêu cầu	Thể hình yêu cầu	Môn phái yêu cầu	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	ì°±áễÚẫớẫẽàÄấ±ºũÊơấạểÃàÄẽễấắÀàéÍÃỷìệ	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch(0 được,1 không được,2 chỉ có thể bán ở tiệm,3 chỉ có thể bán)	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Có/Không thể sửa (0Có/1Không)	Dự Lưu	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Trừng ác cân	0	103	1214	25	4000	0	150	12;12					12014	50	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Đệ tử cấp cao của Ô Y Cái Bang thường đội	ẵ¿éĂÅđÍã²¿002	Đã khóa		6	2	1	12	0					
Tụ Nghĩa cân	0	103	1221	30	14000	0	200	18;18					12021	78	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	±ờìẳÄéÍã²¿018	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
Tụ Nghĩa cân	0	103	1222	30	14000	0	200	18;18					12022	78	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	¿ýẻàÄéÍã²¿007	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
Tụ Nghĩa cân	0	103	1223	30	14000	0	200	18;18					12023	78	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	éễáéÅđÍã²¿036	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
Tụ Nghĩa cân	0	103	1224	30	14000	0	200	18;18					12024	78	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	ẵ¿éĂÅđÍã²¿014	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	12	0					
Tụ Nghĩa cân	0	103	12219	30	0	0	200	18;18					912021	70	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	±ờìẳÄéÍã²¿018	Đã khóa		9	2	1	12	0					
Tụ Nghĩa cân	0	103	12229	30	0	0	200	18;18					912022	70	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	¿ýẻàÄéÍã²¿007	Đã khóa		9	2	1	12	0					
Tụ Nghĩa cân	0	103	12239	30	0	0	200	18;18					912023	70	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	éễáéÅđÍã²¿036	Đã khóa		9	2	1	12	0					
Tụ Nghĩa cân	0	103	12249	30	0	0	200	18;18					912024	70	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bị của đệ tử tám túi Ô Y Cái Bang	ẵ¿éĂÅđÍã²¿014	Đã khóa		9	2	1	12	0					
Thanh Tu cân	0	103	1401	20	2	0	120	8;12					14001	10	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang đạo gia thường mang khi luyện kiếm	±ờìẳÄéÍã²¿002	Đã khóa		4	2	1	14	0					
Thanh Tu cân	0	103	1402	20	2	0	120	8;12					14002	10	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Đệ tử cấp thấp của Võ Đang đạo gia thường mang khi luyện kiếm	¿ýẻàÄéÍã²¿001	Đã khóa		4	2	1	14	0					
Thanh Tu cân	0	103	1403	20	2	0	120	8;12					14003	10	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang đạo gia thường mang khi luyện kiếm	éễáéÅđÍã²¿019	Đã khóa		4	2	1	14	0					
Thanh Tu cân	0	103	1404	20	2	0	120	8;12					14004	10	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang đạo gia thường mang khi luyện kiếm	ẵ¿éĂÅđÍã²¿005	Đã khóa		4	2	1	14	0					
Nhập Thất cân	0	103	1411	25	4000	0	150	10;15					14011	50	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Đệ tử cấp cao của Võ Đang đạo gia thường mang trong thời gian tu luyện	±ờìẳÄéÍã²¿010	Đã khóa		6	2	1	14	0					
Nhập Thất cân	0	103	1412	25	4000	0	150	10;15					14012	50	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Đệ tử cấp cao của Võ Đang đạo gia thường mang trong thời gian tu luyện	¿ýẻàÄéÍã²¿003	Đã khóa		6	2	1	14	0					
Nhập Thất cân	0	103	1413	25	4000	0	150	10;15					14013	50	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Đệ tử cấp cao của Võ Đang đạo gia thường mang trong thời gian tu luyện	éễáéÅđÍã²¿020	Đã khóa		6	2	1	14	0					
Nhập Thất cân	0	103	1414	25	4000	0	150	10;15					14014	50	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Đệ tử cấp cao của Võ Đang đạo gia thường mang trong thời gian tu luyện	ẵ¿éĂÅđÍã²¿002	Đã khóa		6	2	1	14	0					
Tứ Tượng cân	0	103	1421	30	14000	0	200	12;20					14021	78	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	±ờìẳÄéÍã²¿018	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
Tứ Tượng cân	0	103	1422	30	14000	0	200	12;20					14022	78	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	¿ýẻàÄéÍã²¿007	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
Tứ Tượng cân	0	103	1423	30	14000	0	200	12;20					14023	78	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	éễáéÅđÍã²¿036	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
Tứ Tượng cân	0	103	1424	30	14000	0	200	12;20					14024	78	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	ẵ¿éĂÅđÍã²¿014	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	14	0					
Tứ Tượng cân	0	103	14219	30	0	0	200	12;20					914021	70	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	±ờìẳÄéÍã²¿018	Đã khóa		9	2	1	14	0					
Tứ Tượng cân	0	103	14229	30	0	0	200	12;20					914022	70	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	¿ýẻàÄéÍã²¿007	Đã khóa		9	2	1	14	0					
Tứ Tượng cân	0	103	14239	30	0	0	200	12;20					914023	70	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	éễáéÅđÍã²¿036	Đã khóa		9	2	1	14	0					
Tứ Tượng cân	0	103	14249	30	0	0	200	12;20					914024	70	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang bị dành cho đệ tử Võ Đang đã thông thuộc ngũ hành, am hiểu môn thuật	ẵ¿éĂÅđÍã²¿014	Đã khóa		9	2	1	14	0					
Thanh Phong cân	0	103	1501	20	2	0	120	10;10					15001	10	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang tục gia thường mang khi luyện Bút  pháp	±ờìẳÄéÍã²¿002	Đã khóa		4	2	1	15	0					
Thanh Phong cân	0	103	1502	20	2	0	120	10;10					15002	10	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Đệ tử cấp thấp của Võ Đang tục gia thường mang khi luyện Bút  pháp	¿ýẻàÄéÍã²¿001	Đã khóa		4	2	1	15	0					
Thanh Phong cân	0	103	1503	20	2	0	120	10;10					15003	10	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang tục gia thường mang khi luyện Bút  pháp	éễáéÅđÍã²¿019	Đã khóa		4	2	1	15	0					
Thanh Phong cân	0	103	1504	20	2	0	120	10;10					15004	10	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Đệ tử cấp thấp của Võ Đang tục gia thường mang khi luyện Bút  pháp	ẵ¿éĂÅđÍã²¿005	Đã khóa		4	2	1	15	0					
Thiểu Dương cân	0	103	1511	25	4000	0	150	12;12					15011	50	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Đệ tử cấp cao của Võ Đang tục gia thường mang khi luyện Nội công	±ờìẳÄéÍã²¿010	Đã khóa		6	2	1	15	0					
Thiểu Dương cân	0	103	1512	25	4000	0	150	12;12					15012	50	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Đệ tử cấp cao của Võ Đang tục gia thường mang khi luyện Nội công	¿ýẻàÄéÍã²¿003	Đã khóa		6	2	1	15	0					
Thiểu Dương cân	0	103	1513	25	4000	0	150	12;12					15013	50	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Đệ tử cấp cao của Võ Đang tục gia thường mang khi luyện Nội công	éễáéÅđÍã²¿020	Đã khóa		6	2	1	15	0					
Thiểu Dương cân	0	103	1514	25	4000	0	150	12;12					15014	50	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Đệ tử cấp cao của Võ Đang tục gia thường mang khi luyện Nội công	ẵ¿éĂÅđÍã²¿002	Đã khóa		6	2	1	15	0					
Linh Phong cân	0	103	1521	30	14000	0	200	18;18					15021	78	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	±ờìẳÄéÍã²¿018	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong cân	0	103	1522	30	14000	0	200	18;18					15022	78	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	¿ýẻàÄéÍã²¿007	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong cân	0	103	1523	30	14000	0	200	18;18					15023	78	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	éễáéÅđÍã²¿036	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong cân	0	103	1524	30	14000	0	200	18;18					15024	78	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	ẵ¿éĂÅđÍã²¿014	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	15	0					
Linh Phong cân	0	103	15219	30	0	0	200	18;18					915021	70	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	±ờìẳÄéÍã²¿018	Đã khóa		9	2	1	15	0					
Linh Phong cân	0	103	15229	30	0	0	200	18;18					915022	70	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	¿ýẻàÄéÍã²¿007	Đã khóa		9	2	1	15	0					
Linh Phong cân	0	103	15239	30	0	0	200	18;18					915023	70	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	éễáéÅđÍã²¿036	Đã khóa		9	2	1	15	0					
Linh Phong cân	0	103	15249	30	0	0	200	18;18					915024	70	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng dành cho đệ tử Võ Đang tục gia khi hạ sơn	ẵ¿éĂÅđÍã²¿014	Đã khóa		9	2	1	15	0					
Khinh Kỵ khôi	0	103	1701	20	2	0	120	8;12					17001	10	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	±ờìẳÄéÍã²¿002	Đã khóa		4	2	1	17	0					
Khinh Kỵ khôi	0	103	1702	20	2	0	120	8;12					17002	10	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	¿ýẻàÄéÍã²¿001	Đã khóa		4	2	1	17	0					
Khinh Kỵ khôi	0	103	1703	20	2	0	120	8;12					17003	10	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	éễáéÅđÍã²¿019	Đã khóa		4	2	1	17	0					
Khinh Kỵ khôi	0	103	1704	20	2	0	120	8;12					17004	10	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	ẵ¿éĂÅđÍã²¿005	Đã khóa		4	2	1	17	0					
Hiệu úy khôi	0	103	1711	25	4000	0	150	10;15					17011	50	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Phần thưởng cho các đệ tử Dương Môn được tăng cấp hiệu úy	±ờìẳÄéÍã²¿010	Đã khóa		6	2	1	17	0					
Hiệu úy khôi	0	103	1712	25	4000	0	150	10;15					17012	50	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Phần thưởng cho các đệ tử Dương Môn được tăng cấp hiệu úy	¿ýẻàÄéÍã²¿003	Đã khóa		6	2	1	17	0					
Hiệu úy khôi	0	103	1713	25	4000	0	150	10;15					17013	50	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Phần thưởng cho các đệ tử Dương Môn được tăng cấp hiệu úy	éễáéÅđÍã²¿020	Đã khóa		6	2	1	17	0					
Hiệu úy khôi	0	103	1714	25	4000	0	150	10;15					17014	50	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Phần thưởng cho các đệ tử Dương Môn được tăng cấp hiệu úy	ẵ¿éĂÅđÍã²¿002	Đã khóa		6	2	1	17	0					
Tinh Giáp khôi	0	103	1721	30	14000	0	200	12;20					17021	78	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	±ờìẳÄéÍã²¿018	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Giáp khôi	0	103	1722	30	14000	0	200	12;20					17022	78	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	¿ýẻàÄéÍã²¿007	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Giáp khôi	0	103	1723	30	14000	0	200	12;20					17023	78	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	éễáéÅđÍã²¿036	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Giáp khôi	0	103	1724	30	14000	0	200	12;20					17024	78	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	ẵ¿éĂÅđÍã²¿014	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	17	0					
Tinh Giáp khôi	0	103	17219	30	0	0	200	12;20					917021	70	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	±ờìẳÄéÍã²¿018	Đã khóa		9	2	1	17	0					
Tinh Giáp khôi	0	103	17229	30	0	0	200	12;20					917022	70	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	¿ýẻàÄéÍã²¿007	Đã khóa		9	2	1	17	0					
Tinh Giáp khôi	0	103	17239	30	0	0	200	12;20					917023	70	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	éễáéÅđÍã²¿036	Đã khóa		9	2	1	17	0					
Tinh Giáp khôi	0	103	17249	30	0	0	200	12;20					917024	70	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng dành cho đệ tử Dương Môn khi được tăng cấp tướng quân	ẵ¿éĂÅđÍã²¿014	Đã khóa		9	2	1	17	0					
Nỗ Thủ khôi	0	103	1801	20	2	0	120	8;12					18001	10	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	±ờìẳÄéÍã²¿002	Đã khóa		4	2	1	18	0					
Nỗ Thủ khôi	0	103	1802	20	2	0	120	8;12					18002	10	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	¿ýẻàÄéÍã²¿001	Đã khóa		4	2	1	18	0					
Nỗ Thủ khôi	0	103	1803	20	2	0	120	8;12					18003	10	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	éễáéÅđÍã²¿019	Đã khóa		4	2	1	18	0					
Nỗ Thủ khôi	0	103	1804	20	2	0	120	8;12					18004	10	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Phục trang của đệ tử cấp thấp Dương Môn	ẵ¿éĂÅđÍã²¿005	Đã khóa		4	2	1	18	0					
Đô úy khôi	0	103	1811	25	4000	0	150	10;15					18011	50	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Phần thưởng của đệ tử cấp cao Dương Môn khi thăng chức Đô úy	±ờìẳÄéÍã²¿010	Đã khóa		6	2	1	18	0					
Đô úy khôi	0	103	1812	25	4000	0	150	10;15					18012	50	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Phần thưởng của đệ tử cấp cao Dương Môn khi thăng chức Đô úy	¿ýẻàÄéÍã²¿003	Đã khóa		6	2	1	18	0					
Đô úy khôi	0	103	1813	25	4000	0	150	10;15					18013	50	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Phần thưởng của đệ tử cấp cao Dương Môn khi thăng chức Đô úy	éễáéÅđÍã²¿020	Đã khóa		6	2	1	18	0					
Đô úy khôi	0	103	1814	25	4000	0	150	10;15					18014	50	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Phần thưởng của đệ tử cấp cao Dương Môn khi thăng chức Đô úy	ẵ¿éĂÅđÍã²¿002	Đã khóa		6	2	1	18	0					
Tinh Giáp khôi	0	103	1821	30	14000	0	200	12;20					18021	78	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	±ờìẳÄéÍã²¿018	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Giáp khôi	0	103	1822	30	14000	0	200	12;20					18022	78	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	¿ýẻàÄéÍã²¿007	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Giáp khôi	0	103	1823	30	14000	0	200	12;20					18023	78	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	éễáéÅđÍã²¿036	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Giáp khôi	0	103	1824	30	14000	0	200	12;20					18024	78	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	ẵ¿éĂÅđÍã²¿014	Đã khóa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	18	0					
Tinh Giáp khôi	0	103	18219	30	0	0	200	12;20					918021	70	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	±ờìẳÄéÍã²¿018	Đã khóa		9	2	1	18	0					
Tinh Giáp khôi	0	103	18229	30	0	0	200	12;20					918022	70	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	¿ýẻàÄéÍã²¿007	Đã khóa		9	2	1	18	0					
Tinh Giáp khôi	0	103	18239	30	0	0	200	12;20					918023	70	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	éễáéÅđÍã²¿036	Đã khóa		9	2	1	18	0					
Tinh Giáp khôi	0	103	18249	30	0	0	200	12;20					918024	70	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phần thưởng của đệ tử Dương Môn khi được thăng Tướng Quân	ẵ¿éĂÅđÍã²¿014	Đã khóa		9	2	1	18	0					
Đoạt Phách diện	0	103	2001	20	2	0	120	10;10					20001	10	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Đệ tử Ngũ Độc thường mang khi luyện độc dược.	±ờìẳÄéÍã²¿002	Đã khóa		4	2	1	20	0					
Đoạt Phách diện	0	103	2002	20	2	0	120	10;10					20002	10	1	2	Tân thủ không thể dùng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Đệ tử Ngũ Độc thường mang khi luyện độc dược.	¿ýẻàÄéÍã²¿001	Đã khóa		4	2	1	20	0					
Đoạt Phách diện	0	103	2003	20	2	0	120	10;10					20003	10	2	3	Tân thủ không thể dùng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Đệ tử Ngũ Độc thường mang khi luyện độc dược.	éễáéÅđÍã²¿019	Đã khóa		4	2	1	20	0					
Đoạt Phách diện	0	103	2004	20	2	0	120	10;10					20004	10	2	4	Tân thủ không thể dùng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Đệ tử Ngũ Độc thường mang khi luyện độc dược.	ẵ¿éĂÅđÍã²¿005	Đã khóa		4	2	1	20	0					
Thôi Mệnh diện	0	103	2011	25	4000	0	150	12;12					20011	50	1	1	Tân thủ không thể dùng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Đệ tử Ngũ Độc thường mang khi luyện độc dược.	±ờìẳÄéÍã²¿010	Đã khóa		6	2	1	20	0					
