Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Bí kiếp âm dương	Số thứ tự bí kiếp	Thêm công kích ngoại công chủ động:	Tầng thứ	Thêm công kích nội công chủ động:	Tầng thứ	Thêm công kích phụ trợ: 	Tầng thứ 	Thêm phòng ngự phụ trợ:	Tầng thứ	Số phụ lục mật tịch	Tầng thứ 	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Khi sử dụng trang bị sẽ hiển thị tên loại hình	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Phẩm chất mật tịch kỹ năng	Có/không thể vứt (0 được; 1 không được)	Lưu phái	Lưu ( Chữ số)	Bối cảnh
Thái Cực Tâm Kinh	0	112	110	1	10	0	159	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_077a1.spr	\image\item\book\book_077a0.spr	Mật tịch Võ Đang, lấy nhu khắc cương.		Mật tịch		85	30				Đại diễn chi sổ ngũ thập, kỳ dụng tứ thập hữu cửu, hư kỳ nhất, thiên địa dịch vị, càn khôn nữu chuyến, biến hoá thuỷ sinh. Dĩ hữu hình chi pháp, nhập vô hình chi pháp, vọng khứ thần động, đương cơ duyên sở chí, tự hội xúc cập thể nội vô hình uẩn khí chi sở, thần cơ phát động, tái dĩ vô tâm chi ý ngữ chi giá chi, chân khí nãi sinh. Võ Đang chân khí canh thị hoá đạo gia điển tịch nhi xuất, thượng thiện nhược thuỷ, dĩ nhu khắc cương, hình thần hợp nhất, dĩ ý ngự lực, viên chuyển quán xuyến.
Cửu Âm Chân Kinh	0	107	151	1	10	0												\image\item\book\book_064a1.spr	\image\item\book\book_064a0.spr	Mật tịch do Tảo Địa Tăng sáng chế ra, oai lực danh chấn thiên hạ		Mật tịch		90	0				
Cửu Dương Chân Kinh	0	107	152	1	10	0												\image\item\book\book_065a1.spr	\image\item\book\book_065a0.spr	Mật tịch do cao Thủ Hoàng Thường sáng chế ra, thiên hạ vô song.		Mật tịch		90	0				
Cửu Kiếm Chân Kinh	0	107	153	1	10	0												\image\item\book\book_066a1.spr	\image\item\book\book_066a0.spr	Mật tịch cao thủ Độc Cô Kiếm, tìm sơ hở của đối phương mà công kích.		Mật tịch		90	0				
Tây Sơn Mật tịch	0	107	154	1	10	0												\image\item\book\book_067a1.spr	\image\item\book\book_067a0.spr	Ghi lại tuyệt học học võ công của cao thủ Tây Sơn Cư Sĩ		Mật tịch		95	0				
Ngũ Hành Mật tịch	0	107	155	1	10	0	495	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_086a1.spr	\image\item\book\book_086a0.spr	Mật tịch thất truyền từ lâu, gần đây xuất hiện lại trên giang hồ, nhưng không còn nguyên vẹn, rất khó tu luyện		Mật tịch		55	0				
Toàn Long Thương Phổ	0	112	111	1	10	0	732	0	0	0	0	0	0	0	0	0	0	\image\item\book\ìờÁỳầạặìa1.spr	\image\item\book\ìờÁỳầạặìa0.spr	Dương Môn Mật tịch trấn phái, Toàn Long Thương Pháp là đỉnh cao thương thuật chiến trận		Mật tịch		85	30				Dương môn Liên Hoàn Toàn Long Thương, kỳ uy dã, thần long chi khí, kỳ lực dã, liên hoàn chi thế.
Bá Vương Tiễn Phổ	0	112	112	1	10	0	745	0	0	0	0	0	0	0	0	0	0	\image\item\book\°ễÍừẳýặìa1.spr	\image\item\book\°ễÍừẳýặìa0.spr	Dương Môn Mật tịch trấn phái, rất khó chống đỡ		Mật tịch		85	30				Tích bá vương hào khí cái thế, sất sát phong vân, tượng thiên tắc địa, hoá nhân dị đại, sáng chế thiên hạ, đẳng liệt chư hầu, tân thuộc tứ hải, thời khuông ngũ hồ, dĩ uy dị bạo nhi tranh thiên hạ, dĩ nghĩa phong quốc nhi xưng bá vương, kỳ hàng dã tật, kỳ thế dã nhiếp, kỳ lực dã mãnh, kỳ sở hướng giả, giai phi mỹ dã. Dương gia quân uy nhiếp tứ di, thế trấn bát phương, khu chiến tràng nhược bá vương chi bạch câu đầu dục, phi hồng thệ vân.
Vô Thiên Bảo Điển	0	112	113	1	10	0	775	0	0	0	0	0	0	0	0	0	0	\image\item\book\ẻịèỡ±Ưàọa1.spr	\image\item\book\ẻịèỡ±Ưàọa0.spr	Ngũ Độc Mật tịch trấn phái, đao thương bất nhập, uy lực vô biên		Mật tịch		85	30				Vô Thiên Ma Công là loại độc không chí mạng, độc phát về đêm, hợp oán khí để triệu gọi Vạn niên Thi Vương.
Vô ảnh Kinh	0	112	114	1	10	0	774	0	0	0	0	0	0	0	0	0	0	\image\item\book\ẻịể°ắưa1.spr	\image\item\book\ẻịể°ắưa0.spr	Ngũ Độc Mật tịch trấn phái, vô ảnh ma cổ biến hóa khó lường		Mật tịch		85	30				Vô ảnh Ma Cổ uy lực vô cùng, vô phương chống đỡ, được khống chế bằng máu.
Bách Thảo mật tịch	0	107	156	1	10	0	496	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_013a1.spr	\image\item\book\book_013a0.spr	Kỳ thư này là tâm huyết cả đời của Tây Vực Dược vương, ghi chép công hiệu của bách thảo trên thế gian, bổ sung vô cùng.		Mật tịch		80	20				
Mật tịch ngũ hành toàn tập	0	107	157	1	10	0	495	50;100	20;30	50;100	20;30	50;100	20;30	50;100	20;30	40	0	\image\item\book\book_086a1.spr	\image\item\book\book_086a0.spr	Mật tịch thất truyền đã lâu, được Thành Hành Ngũ Đạo cuối nhà Đường sáng lập, sau nhiều sửa chữa bổ sung của các cao thủ, chắc chắn sẽ luyện thành công.		Mật tịch		55	40				
Lăng Ba Vi Bộ toàn tập	0	112	158	1	10	0	477	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_058a1.spr	\image\item\book\book_058a0.spr	Mật tịch ghi chép về tuyệt học Lăng Ba Vi Bộ: vạn quân bủa vây vẫn thong dong dạo bước, đây là võ công bí truyền của Tiêu Dao phái, ắt hẳn sẽ luyện thành công.		Mật tịch		60	40	1			 ”Lăng Ba Vi Bộ\' là tuyệt học thượng thừa của Tiêu Dao phái, lấy 64 quẻ phương vị trong Dịch Kinh làm gốc, hình thành 1 vòng tròn Bát Quái, biến hóa khôn lường, người ngộ tính không cao sẽ không tu luyện được. Lăng Ba Vi Bộ quy tụ vũ trụ vật vạn vào 1 điểm, ngàn con suối về 1 mối nhưng động tác vẫn nhanh nhẹn thanh thoát, như đang lướt đi trên mặt nước. Bộ pháp này mượn sức mạnh Càn Khôn, ngự khí ở từng bước đi, luân chuyển nhất quán. Nhưng nếu giữa chừng gặp trở ngại, kinh mạch sẽ rối loạn, nội lực và khí tích tụ khiến toàn thân tê liệt, nguy hiểm khôn lường. Phải hết sức thận trọng.
Tứ Linh Chiến ý Phổ	0	107	159	1	10	0	967	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_101a1.spr	\image\item\book\book_101a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch đồng thời tăng né tránh		Mật tịch		55	0;60				
Tứ Linh Thiên ý Phổ	0	107	160	1	10	0	968	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_102a1.spr	\image\item\book\book_102a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch đồng thời triệt tiêu ảnh hưởng thân pháp		Mật tịch		55	0;60				
Tứ Linh Tử ý Phổ	0	107	161	1	10	0	969	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	20;30	10	\image\item\book\book_103a1.spr	\image\item\book\book_103a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch, hiệu quả rất lâu		Mật tịch		55	0;60				
Tứ Linh Chiến ý Phổ	0	107	162	1	10	0	967	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_104a1.spr	\image\item\book\book_104a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch đồng thời tăng né tránh		Mật tịch		55	40				
Tứ Linh Thiên Y Phổ	0	107	163	1	10	0	968	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_105a1.spr	\image\item\book\book_105a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch đồng thời triệt tiêu ảnh hưởng thân pháp		Mật tịch		55	40				
Tứ Linh Tử Y Phổ	0	107	164	1	10	0	969	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_106a1.spr	\image\item\book\book_106a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch, hiệu quả rất lâu		Mật tịch		55	40				
Tứ Linh Vô Song Phổ	0	107	165	1	10	0	970	50;100	30;50	50;100	30;50	40;80	20;40	40;80	20;40	40	0	\image\item\book\book_107a1.spr	\image\item\book\book_107a0.spr	Võ công tứ đại nữ hiệp sáng tạo nên, lấy chân khí hộ thể tấn công địch, hiệu quả rất lâu và triệt tiêu ảnh hưởng thân pháp		Mật tịch		55	40				
Kim Cang Bát Nhã Kinh	0	107	166	1	10	2	975;977	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_087a1.spr	\image\item\book\book_087a0.spr	Mật tịch Thiếu Lâm tục gia, ghi chép tuyệt học Kim Cang Bát Nhã Công		Mật tịch		70	0;60		2		
Tiềm Long Tịch Diệt Kinh	0	107	167	1	10	2	978;980	10;20	0;10	60;120	30;50	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_088a1.spr	\image\item\book\book_088a0.spr	Mật tịch Thiếu Lâm võ tăng, ghi chép tuyệt học Tiềm Long Tịch Diệt Công		Mật tịch		70	0;60		4		
Vô Trần Bồ Đề Kinh	0	107	168	1	10	2	981;983	10;20	0;10	60;120	30;50	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_089a1.spr	\image\item\book\book_089a0.spr	Mật tịch Thiếu Lâm thiền tăng ghi chép tuyệt học Vô Trần Bồ Đề Công		Mật tịch		70	0;60		3		
Thiên La Liên Châu Lục	0	107	169	1	10	1	984;985	60;120	30;50	10;20	0;10	60;120	30;50	50;100	20;40	20;30	10	\image\item\book\book_090a1.spr	\image\item\book\book_090a0.spr	Mật tịch Đường Môn ghi chép tuyệt học Thiên La Liên Châu Võng.		Mật tịch		70	0;60		6		
Như ý Kim Đỉnh Mật Tịch	0	107	170	1	10	1	986;987	10;20	0;10	20;40	10;20	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\book_091a1.spr	\image\item\book\book_091a0.spr	Mật tịch Nga My phật gia ghi chép tuyệt học Như ý Kim Đỉnh Công		Mật tịch		70	0;60		8		
Bích Hải Tuyệt Âm Phổ	0	107	171	1	10	1	988;991	40;80	20;40	50;100	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_092a1.spr	\image\item\book\book_092a0.spr	Mật tịch Nga My tục gia ghi chép cầm khúc bí truyền Bích Hải Tuyệt Âm Khúc		Mật tịch		70	0;60		9		
Hỗn Độn Trấn Nhạc Mật Tịch	0	107	172	1	10	2	992;995	60;120	30;50	10;20	0;10	50;100	20;40	50;100	20;40	20;30	10	\image\item\book\book_093a1.spr	\image\item\book\book_093a0.spr	Mật tịch Cái Bang Tịnh Y ghi chép tuyệt học Hỗn Độn Trấn Nhạc Chưởng		Mật tịch		70	0;60		11		
Quỹ Thiên Du Long Mật Tịch	0	107	173	1	10	2	996;998	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_094a1.spr	\image\item\book\book_094a0.spr	Mật tịch Cái Bang Ô Y ghi chép tuyệt học Quý Thiên Du Long Côn		Mật tịch		70	0;60		12		
Huyễn ảnh Mê Tung Mật Tịch	0	107	174	1	10	0	999;1002	10;20	0;10	60;120	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_095a1.spr	\image\item\book\book_095a0.spr	Mật tịch Võ Đang đạo gia chi chép kiếm pháp Hoan ảnh Mê Tung Kiếm		Mật tịch		70	0;60		14		
Quân Tử Tiệt Phong Mật Tịch	0	107	175	1	10	0	1003;1006	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_096a1.spr	\image\item\book\book_096a0.spr	Mật tịch Võ Đang tục gia ghi chép bút pháp Quân Tử Tiệt Phong Quyết		Mật tịch		70	0;60		15		
Trấn Quân Phi Long Thương Phổ	0	107	176	1	10	1	1007;1009	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_097a1.spr	\image\item\book\book_097a0.spr	Mật tịch Dương Môn thương kỵ ghi chép tuyệt học Trấn Quân Phi Long Thương		Mật tịch		70	0;60		17		
Xuyên Vân Lạc Hồng Mật Tịch	0	107	177	1	10	1	1010;1012	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_098a1.spr	\image\item\book\book_098a0.spr	Mật tịch Dương Môn cung kỵ ghi chép tiễn pháp Xuyên Vân Lạc Hồng Tiễn		Mật tịch		70	0;60		18		
U Minh Phong Ma Lục	0	107	178	1	10	1	1013;1014	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_099a1.spr	\image\item\book\book_099a0.spr	Mật tịch Ngũ Độc tà hiệp ghi chép tà thuật U Minh Phong Ma Quyết		Mật tịch		70	0;60		20		
Linh Cổ Huyễn Tà Lục	0	107	179	1	10	1	1015;1016	10;20	0;10	30;60	20;30	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\book_100a1.spr	\image\item\book\book_100a0.spr	Mật tịch Ngũ Độc cổ sư ghi chép cổ thuật Hoan Linh Cổ		Mật tịch		70	0;60		21		
Kinh Phong Mật Tịch	0	107	180	1	10	0	1034	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_108a1.spr	\image\item\book\book_108a0.spr	Ghi chép bùa pháp thần bí Côn Lôn Thiên Sư "Kinh Phong Thiểm Lôi Quyết" với tinh túy của chiêu thức		Mật tịch		45	0;60		23		
Kinh Phong Tâm Pháp	0	107	181	1	10	0	1034	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_109a1.spr	\image\item\book\book_109a0.spr	Ghi chép bùa pháp thần bí Côn Lôn Thiên Sư "Kinh Phong Thiểm Lôi Quyết" với tâm pháp tinh túy của chiêu thức		Mật tịch		45	0;60		23		
Hồi Phong Mật Tịch	0	107	182	1	10	0	1202	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_110a1.spr	\image\item\book\book_110a0.spr	Ghi lại chiến pháp bất bại "Hồi Phong Liệt Diệm" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong chiêu thức của Thánh Chiến		Mật tịch		45	0;60		25		
Hồi Phong Tâm Giáo	0	107	183	1	10	0	1202	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_111a1.spr	\image\item\book\book_111a0.spr	Ghi lại chiến pháp bất bại "Hồi Phong Liệt Diệm" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong tâm pháp của Thánh Chiến		Mật tịch		45	0;60		25		
Phụ Kỳ Mật Tịch	0	107	184	1	10	0	1203;1206	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_112a1.spr	\image\item\book\book_112a0.spr	Ghi lại trận pháp huyền diệu "Phụ Kỳ Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong chiêu thức của Trận Binh		Mật tịch		45	0;60		26		
Phụ Kỳ Tâm Pháp	0	107	185	1	10	0	1203;1206	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_113a1.spr	\image\item\book\book_113a0.spr	Ghi lại trận pháp huyền diệu "Phụ Kỳ Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong tâm pháp của Trận Binh		Mật tịch		45	0;60		26		
Ngưng Huyết Mật Tịch	0	107	186	1	10	0	1204	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_114a1.spr	\image\item\book\book_114a0.spr	Ghi lại trận bùa chú "Hàn Băng Ngưng Huyết Än" của Minh Giáo Huyết Nhân, ngoài ra có ghi lại những tinh túy trong chiêu thức của Huyết Nhân		Mật tịch		45	0;60		27		
Ngưng Huyết Tâm Pháp	0	107	187	1	10	0	1204	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_115a1.spr	\image\item\book\book_115a0.spr	Ghi lại trận bùa chú "Hàn Băng Ngưng Huyết Än" của Minh Giáo Huyết Nhân, ngoài ra có ghi lại những tinh túy trong tâm pháp của Huyết Nhân		Mật tịch		45	0;60		27		
Túy Mộng Mật Tịch	0	107	188	1	10	0	1194	60;120	30;50	20;40	10;20	10;20	0;10	30;60	20;30	20;30	10	\image\item\book\book_116a1.spr	\image\item\book\book_116a0.spr	Ghi lại vũ nghệ kinh thiên của Thúy Yên Vũ Tiên "Túy Mộng Ngâm" với tâm pháp tinh túy của chiêu thức		Mật tịch		45	0;60		29		
Túy Mông Tâm Pháp	0	107	189	1	10	0	1194	20;40	10;20	10;20	0;10	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_117a1.spr	\image\item\book\book_117a0.spr	Ghi lại vũ nghệ kinh thiên của Thúy Yên Vũ Tiên "Túy Mộng Ngâm" với tâm pháp tinh túy của chiêu thức		Mật tịch		45	0;60		29		
Phồn Hoa Mật Tịch	0	107	190	1	10	0	1253	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_118a1.spr	\image\item\book\book_118a0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Phồn Hoa Mậu" với tâm pháp tinh túy của chiêu thức		Mật tịch		45	0;60		30		
Phồn Hoa Tâm Pháp	0	107	191	1	10	0	1253	40;80	20;40	10;20	0;10	40;80	20;40	60;120	30;50	20;30	10	\image\item\book\book_119a1.spr	\image\item\book\book_119a0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Phồn Hoa Mậu" với tâm pháp tinh túy của chiêu thức		Mật tịch		45	0;60		30		
Phong Lôi Châu	0	112	192	1	10	0	1032	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_120a1.spr	\image\item\book\book_120a0.spr	Mật tịch trấn phái Côn Lôn, hô phong hoán vũ, ngự kiếm đoạn không		Mật tịch		85	30		23		
Càn Khôn Đại Na Di Tâm Pháp	0	112	193	1	10	0	1066	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_121a1.spr	\image\item\book\book_121a0.spr	Mật tịch trấn phái Minh Giáo, Đao Quyển Liệt Diệm, Nữu Chuyển Càn Khôn, dùng lực của thất phu, phá ngàn vạn quân địch		Mật tịch		85	30		25		
Quang Minh Ngũ Hành Lệnh	0	112	194	1	10	0	1096	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_122a1.spr	\image\item\book\book_122a0.spr	Mật tịch trấn phái Minh Giáo, Bút Họa Phương Tấc, Kỳ Lệnh Ngũ Hành, Biến o Mạc Trắc, người sống miễn vào		Mật tịch		85	30		26		
Hàn Băng Ngưng Huyết Chú	0	112	195	1	10	0	1213	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_123a1.spr	\image\item\book\book_123a0.spr	Mật tịch trấn phái Minh Giáo, Trảo Cát Huyết Nhục, Phong Hồn Nhiếp Phách, trúng phải sẽ vạn kiếp không phục hồi		Mật tịch		85	30		27		
Phụng Minh Phổ	0	112	196	1	10	0	1196	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_124a1.spr	\image\item\book\book_124a0.spr	Mật tịch trấn phái Thúy Yên, phụng hoàn triều nhật, thiên địa kinh biến, bách thú phục thủ		Mật tịch		85	30		29		
Hoa Tiên Tâm Kinh	0	112	197	1	10	0	1230	0	0	0	0	0	0	0	0	0	0	\image\item\book\book_125a1.spr	\image\item\book\book_125a0.spr	Mật tịch trấn phái Thúy Yên, huyền hóa thần điêu, trọng hiển hoa tiên linh vận		Mật tịch		85	30		30		
Cửu Thiên Phong Lôi Quyết	0	107	198	1	10	0	1293;1295	10;20	0;10	60;120	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_126a1.spr	\image\item\book\book_126a0.spr	Ghi chép bùa pháp thần bí Côn Lôn Thiên Sư "Cửu Thiên Phong Lôi Quyết" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60		23		
Hồi Phong Trảm Nhật Mật Tịch	0	107	199	1	10	0	1296;1299	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_127a1.spr	\image\item\book\book_127a0.spr	Ghi lại chiến pháp bất bại "Hồi Phong Trảm Nhật Công" của Minh Giao Thánh Chiến, ngoài ra có ghi lại những tinh túy trong chiêu thức của Thánh Chiến		Mật tịch		70	0;60		25		
Phụ Kỳ Hành Trận Mật Tịch	0	107	200	1	10	0	1300;1301	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_128a1.spr	\image\item\book\book_128a0.spr	Ghi lại trận pháp huyền diệu "Phụ Kỳ Hành Trận Lệnh" của Minh Giáo Trận Binh, ngoài ra có ghi lại những tinh túy trong chiêu thức của Trận Binh		Mật tịch		70	0;60		26		
Ngưng Huyết Phong Hồn Mật tịch	0	107	201	1	10	0	1302;1304	10;20	0;10	60;120	30;50	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_129a1.spr	\image\item\book\book_129a0.spr	Ghi lại trận bùa chú "Ngưng Huyết Phong Hồn Än" của Minh Giáo Huyết Nhân, ngoài ra có ghi lại những tinh túy trong chiêu thức của Huyết Nhân		Mật tịch		70	0;60		27		
Hồng Trần Túy Mộng Phổ	0	107	202	1	10	0	1305;1307	60;120	30;50	10;20	0;10	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_130a1.spr	\image\item\book\book_130a0.spr	Ghi lại vũ điệu "Hồng Trần Túy Mộng Ngâm" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60		29		
Phong Hoa Thiên Diệp Phổ	0	107	203	1	10	0	1308;1310	60;120	30;50	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_131a1.spr	\image\item\book\book_131a0.spr	Ghi lại chuyển thế kỳ thuật của Thúy Yên Linh Nữ "Phong Hoa Thiên Diệp" với tâm pháp tinh túy của chiêu thức		Mật tịch		70	0;60		30		
Kim Cang Bát Nhã Chân Quyển 	0	107	204	1	10	2	1426;1427	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ẵðáế°óẩụếổắớa1.spr	\image\item\book\ẵðáế°óẩụếổắớa0.spr	Mật tịch lưu trữ võ công huyền bí của Thiếu Lâm Tục Gia “Vô Song Kim Cang Bàn Nhược Công” cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	2		
Tiềm Long Túc Diệt Chân Quyển	0	107	205	1	10	2	1428;1429	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ầ±ÁỳẳÅÃðếổắớa1.spr	\image\item\book\ầ±ÁỳẳÅÃðếổắớa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Võ Tăng “Vô Song Tiềm Long Túc Diệt Công”cùng với chiêu thức tinh túy của nhánh phái Võ Tăng		Mật tịch		70	0;60	1	4		
Vô Trần Bồ Đề Chân Quyển	0	107	206	1	10	2	1430;1431	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ẻị³ắặéèỏếổắớa1.spr	\image\item\book\ẻị³ắặéèỏếổắớa0.spr	Mật tịch lưu trữ nội công bí truyền của Thiếu Lâm Thiền Tông“Vô Song Vô Trần Bồ Đề Công”cùng với chiêu thức tinh túy của nhánh phái Thiền Tông		Mật tịch		70	0;60	1	3		
Thiên La Liên Châu Chân Quyển	0	107	207	1	10	1	1432;1433	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\èỡÂịÁơệộếổắớa1.spr	\image\item\book\èỡÂịÁơệộếổắớa0.spr	Mật tịch lưu trữ kỹ thuật bẫy huyền bí của Đường Môn “Vô Song Thiên La Liên Châu Võng”cùng với chiêu thức tinh túy của Đường Môn ám khí thuật		Mật tịch		70	0;60	1	6		
Như ý Kim Đỉnh Chân Quyển	0	107	208	1	10	1	1434;1435	10;20	0;10	20;40	10;20	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ẩỗềõẵðảƠếổắớa1.spr	\image\item\book\ẩỗềõẵðảƠếổắớa0.spr	Mật tịch lưu trữ nội công huyền bí của Nga Mi Phật Gia “Vô Song Như ý Kim Cang Đỉnh”cùng với chiêu thức tinh túy của nhánh phái Phật Gia 		Mật tịch		70	0;60	1	8		
Bích Hải Tuyệt Âm Chân Quyển	0	107	209	1	10	1	1436;1437	40;80	20;40	50;100	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\±èºÊắứềụếổắớa1.spr	\image\item\book\±èºÊắứềụếổắớa0.spr	Mật tịch lưu trữ cầm khúc huyền bí của Nga Mi Tục Gia “Vô Song Bích Hải Tuyệt Âm Khúc”cùng với chiêu thức tinh túy của nhánh phái Tục Gia cầm khúc		Mật tịch		70	0;60	1	9		
Hỗn Độn Trấn Nhạc Chân Quyển	0	107	210	1	10	2	1438;1439	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ằỡóỗếũễÀếổắớa1.spr	\image\item\book\ằỡóỗếũễÀếổắớa0.spr	Mật tịch lưu trữ quyền pháp cao cáp của Cái Bang Tịnh Y “Vô Song Hỗn Độn Trấn Nhạc”cùng với chiêu thức tinh túy của nhánh phái Tịnh Y		Mật tịch		70	0;60	1	11		
Quỳ Thiên Du Long Chân Quyển	0	107	211	1	10	2	1440;1441	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ịủèỡểẻÁỳếổắớa1.spr	\image\item\book\ịủèỡểẻÁỳếổắớa0.spr	Mật tịch lưu trữ côn pháp cao cấp của Cái Bang Ô Y “Vô Song Quỳ Thiên Du Long Côn”cùng với chiêu thức tinh túy của nhánh phái Ô Y		Mật tịch		70	0;60	1	12		
Huyền ảnh Mê Tông Chân Quyển	0	107	212	1	10	0	1442;1443	10;20	0;10	60;120	30;50	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ằÃể°ÃễìÙếổắớa1.spr	\image\item\book\ằÃể°ÃễìÙếổắớa0.spr	Mật tịch lưu trữ kiếm pháp thần bí của Võ Đang Đạo Gia “Vô Song Huyền ảnh Mê Tông Kiếm”cùng với chiêu thức tinh túy của nhánh phái Đạo Gia kiếm khí		Mật tịch		70	0;60	1	14		
Quân Tử Đới Phong Chân Quyển	0	107	213	1	10	0	1444;1445	60;120	30;50	10;20	0;10	60;120	30;50	60;120	30;50	20;30	10	\image\item\book\ắýìểẵỉãỗếổắớa1.spr	\image\item\book\ắýìểẵỉãỗếổắớa0.spr	Mật tịch lưu trữ bút pháp thâm thúy của Võ Đang Tục Gia “Vô Song Quân Tử Đới Phong Quyết”cùng với chiêu thức tinh túy của nhánh phái Tục Gia		Mật tịch		70	0;60	1	15		
