Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	Có/không thể giao dịch (0 được,1 không được,)	Có/không thể vứt (0 được; 1 không được)	Lưu 2	Lưu 3
Cửu Thái Hoa Biện	2	0	487	1	0	999														Vật phẩm thần bí rớt trong Bách Hoa Lâm của Thúy Yên, có thể tìm sư phụ để đổi phần thưởng thần bí		Đã khóa			2	1		
Đào Hoa Lộ	2	0	488	1	0	999														Vật phẩm Trung cấp rớt trong Bách Hoa Lâm của Thúy Yên, có thể tìm sư phụ để đổi phần thưởng Trung cấp		Đã khóa			2	1		
Đỗ Quyên Lộ	2	0	489	1	0	999														Vật phẩm cao cấp rớt trong Bách Hoa Lâm của Thúy Yên, có thể tìm sư phụ để đổi phần thưởng cao cấp		Đã khóa			2	1		
Mẫu Đơn Lộ	2	0	490	1	0	999														Vật phẩm cao cấp rớt trong Bách Hoa Lâm của Thúy Yên, có thể tìm sư phụ để đổi phần thưởng cao cấp		Đã khóa			2	1		
Mai Quế Lộ	2	0	491	1	0	999														Vật phẩm thượng hạng rớt trong Bách Hoa Lâm của Thúy Yên, có thể tìm sư phụ để đổi phần thưởng thượng hạng		Đã khóa			2	1		
Linh phù	2	0	492	1	0	999														Vật phẩm sơ cấp rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng sơ cấp		Đã khóa			2	1		
Thiên Cương Phù	2	0	493	1	0	999														Vật phẩm cao cấp rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng cao cấp		Đã khóa			2	1		
Đào Mộc Kiếm	2	0	494	1	0	999														Vật phẩm Trung cấp rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng Trung cấp		Đã khóa			2	1		
Khu Ma Hương	2	0	495	1	0	999														Vật phẩm thượng hạng rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng thượng hạng		Đã khóa			2	1		
Trấn Yêu Linh	2	0	496	1	0	999														Vật phẩm thần bí rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng thần bí		Đã khóa			2	1		
Khổn Tiên Thằng	2	0	497	1	0	999														Vật phẩm thần bí rớt trong Tỏa Yêu Tháp của Côn Lôn, có thể tìm sư phụ để đổi phần thưởng thần bí		Đã khóa			2	1		
Xích Hỏa Lệnh	2	0	498	1	0	999														Vật phẩm cao cấp rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng cao cấp		Đã khóa			2	1		
Thánh Hỏa Lệnh	2	0	499	1	0	999														Vật phẩm thượng hạng rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng thượng hạng		Đã khóa			2	1		
Ngũ hành Kỳ	2	0	500	1	0	999														Vật phẩm thần bí rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng thần bí		Đã khóa			2	1		
Tản Nhân Hoàn	2	0	501	1	0	999														Vật phẩm cao cấp rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng cao cấp		Đã khóa			2	1		
Hộ Pháp Đái	2	0	502	1	0	999														Vật phẩm thượng hạng rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng thượng hạng		Đã khóa			2	1		
Tiêu Dao Bội	2	0	503	1	0	999														Vật phẩm thần bí rớt trong Thánh địa của Minh giáo, có thể tìm sư phụ để đổi phần thưởng thần bí		Đã khóa			2	1		
Cây Bát Nhã nhỏ	2	0	504	1	0	1												\image\item\other\°óẩụấữệệ(x).spr	\image\item\other\°óẩụấữệệ(d).spr	Hạt giống cây Bát Nhã nhỏ.<enter><color=Gold>(Có thể trồng ở Biện Kinh, Thành Đô, Tuyền Châu)		Nhiệm vụ	\script\online\plant\seed_item_xiao.lua		0	1		
Giang hồ chỉ nam	2	0	505	2	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Ghi lại những kinh nghiệm giang hồ của các bậc tiền bối, rất hữu ích đối với Tân Thủ		Nhiệm vụ	\script\task\teach\éÂấệệáềýbook.lua	1	2	0		
Dương Họa Phiến	2	0	506	1	0	1												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	Phía trên có vẽ hoa văn rất đẹp, bức tranh không phải là tranh ở Trung Nguyên		Đã khóa			2	1		
Dương Họa Cơ	2	0	507	1	0	1												\image\item\usable\rich_004a1.spr	\image\item\usable\rich_004a0.spr	Có thể phát sáng.		Đã khóa			2	1		
Hỏa Chiết Tử	2	0	508	1	0	1												\image\item\other\coll_125a1.spr	\image\item\other\coll_125a0.spr	Vật đánh lửa của hiệp khách giang hồ		Đã khóa			2	1		
Yên Đại	2	0	509	1	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Bên trong chứa nhiều yên thảo.		Đã khóa			2	1		
Mộc hài	2	0	510	1	0	1												\image\item\other\coll_043a1.spr	\image\item\other\coll_043a0.spr	Cao thủ giang hồ thường mang		Đã khóa			2	1		
Trúc Mã	2	0	511	1	0	1												\image\item\other\coll_118a1.spr	\image\item\other\coll_118a0.spr	Đồ chơi trẻ con		Đã khóa			2	1		
Loan Phụng Ngọc Bội	2	0	512	1	0	1												\image\item\other\quest_013a1.spr	\image\item\other\quest_013a0.spr	Trên ngọc bội có khắc hình Long Phụng.		Đã khóa			2	1		
Thuật Cửu Chương	2	0	513	1	0	1												\image\item\other\coll_107a1.spr	\image\item\other\coll_107a0.spr	ghi lại cách tính toán số học.		Đã khóa			2	1		
Thiên Thạch Chùy	2	0	514	1	0	1												\image\item\cloth\tool_003a1.spr	\image\item\cloth\´áìể.spr	Do thợ rèn Lưu dùng Thiên thạch chế tạo thành.		Đã khóa			2	1		
Khánh Điển diệm hỏa	2	0	515	1	0	1												\image\item\other\quest_022a1.spr	\image\item\other\quest_022a0.spr	Hạn sử dụng 28/09/2006 đến 08/10/2006		Nhiệm vụ	\script\online\3festival\item\fireworks_item.lua		0	1		
Hướng dẫn hoạt động Trung Thu	2	0	516	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Hướng dẫn hoạt động Trung thu		Nhiệm vụ	\script\online\3festival\item\festival_book_item.lua		0	1		
Lò nướng bánh Trung Thu	2	0	517	1	0	1												\image\item\cloth\tool_008a1.spr	\image\item\cloth\Â¯ìể.spr	Lò nướng bánh trung thu		Nhiệm vụ	\script\online\3festival\item\mooncake_tool_item.lua		0	1		
Ng.liệu chính 1	2	0	518	1	0	999												\image\item\other\item_114a1.spr	\image\item\other\item_114a0.spr	Thịt là nguyên liệu quan trọng để làm nhân bánh trung thu.		Đã khóa			2	1		
Ng.liệu chính 2	2	0	519	1	0	999												\image\item\other\item_099a1.spr	\image\item\other\item_099a0.spr	Mứt là nguyên liệu quan trọng để làm nhân bánh trung thu		Nhiệm vụ			0	1		
Ng.liệu chính 3	2	0	520	1	0	999												\image\item\other\item_124a1.spr	\image\item\other\item_124a0.spr	Trái cây là nguyên liệu quan trọng làm nhân bánh trung thu		Nhiệm vụ			0	1		
Ng.liệu phụ 1	2	0	521	1	0	999												\image\item\other\item_111a1.spr	\image\item\other\item_111a0.spr	Ng.liệu phụ để làm bánh trung thu		Nhiệm vụ			0	1		
Ng.liệu phụ 2	2	0	522	1	0	999												\image\item\other\item_096a1.spr	\image\item\other\item_096a0.spr	Ng.liệu phụ để làm bánh trung thu		Nhiệm vụ			0	1		
Ng.liệu phụ 3	2	0	523	1	0	999												\image\item\other\item_121a1.spr	\image\item\other\item_121a0.spr	Ng.liệu phụ để làm bánh trung thu		Nhiệm vụ			0	1		
Than nhiệt độ cao	2	0	524	1	0	999												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	Nhiên liệu dùng để tăng nhiệt độ lò, có thể cung cấp 600 độ C		Nhiệm vụ			0	1		
Củi nhiệt độ thấp	2	0	525	1	0	999												\image\item\other\coll_025a1.spr	\image\item\other\coll_025a0.spr	Nhiên liệu dùng để tăng nhiệt độ lò, có thể cung cấp 300 độ C		Nhiệm vụ			0	1		
Bánh Trung thu thường	2	0	526	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sử dụng nhận được 10.000 điểm kinh nghiệm		Nhiệm vụ	\script\online\3festival\item\ptyb_item.lua		0	1		
Bánh Trung Thu Mỹ Vị	2	0	527	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 200.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\mwyb_item.lua		2	1		
Bánh Trung Thu Jambon	2	0	528	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 500.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\htyb_item.lua		2	1		
Bánh Trung Thu thịt mặn	2	0	529	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nội trong 2 giờ nhân đôi điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\xryb_item.lua		2	1		
Bánh Trung Thu Kim Hoa	2	0	530	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 400.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\jhyb_item.lua		2	1		
Bánh Trung Thu Xoài	2	0	531	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nội trong 30 giây tốc độ đánh tăng 30%		Nhiệm vụ	\script\online\3festival\item\mgyb_item.lua		0	1		
Bánh Trung Thu Sầu Riêng	2	0	532	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nội trong 30 giây tốc độ di chuyển tăng 30%		Nhiệm vụ	\script\online\3festival\item\llyb_item.lua		0	1		
Bánh Trung Thu Ô Mai	2	0	533	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nội trong 15 giây tăng sát xuất giảm thương 50%		Nhiệm vụ	\script\online\3festival\item\cmyb_item.lua		0	1		
Bạch Ngọc Song Hoàng Nguyệt	2	0	534	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 1.000.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\byyb_item.lua		2	1		
Bách Hoa Thập Cẩm Nguyệt	2	0	535	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nội trong 10 phút tất cả năng lực tăng 50%		Nhiệm vụ	\script\online\3festival\item\bhyb_item.lua		0	1		
Thất Tinh Bạn Quân Nguyệt	2	0	536	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 1.500.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\qxyb_item.lua		2	1		
Hằng Nga Thủy Tinh Nguyệt	2	0	537	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sử dụng nhận được 3.000.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\ceyb_item.lua		2	1		
Bánh trung thu bị hỏng	2	0	538	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sử dụng nhận được 100.000 điểm kinh nghiệm		Đã khóa	\script\online\3festival\item\hhdyb_item.lua		2	1		
Bánh trung thu khét	2	0	539	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sử dụng chẳng có tác dụng gì.		Nhiệm vụ	\script\online\3festival\item\sjdyb_item.lua		0	1		
Sinh Thần Cang	2	0	545	1	0	10												\image\item\other\secr_028a1.spr	\image\item\other\secr_028a0.spr	Dùng để chiêu dụ Bộ Phi Yên và thủ hạ hiện thân		Đã khóa	\script\item\conftaskbosscreate.lua		2	1		
Hoàng Cúc	2	0	546	1	0	99												\image\item\other\secr_010a1.spr	\image\item\other\secr_010a0.spr	Một đóa hoa cúc vàng, nếu thu thập được 9 đóa có thể ủ thành rượu hoa cúc (sử dụng trước 12 tháng 11).		Đã khóa	\script\online\zgc_goods_use.lua		2	1		
Tử Cúc	2	0	547	1	0	99												\image\item\other\secr_004a1.spr	\image\item\other\secr_004a0.spr	Một đóa hoa cúc tím, nếu thu thập được 9 đóa có thể làm thành bánh hoa cúc (sử dụng trước 12 tháng 11).		Đã khóa	\script\online\zgc_goods_use.lua		2	1		
Thù du	2	0	548	1	0	99												\image\item\usable\medi_010a1.spr	\image\item\usable\medi_010a0.spr	Một đóa thù du đỏ, nếu thu thập được 9 đóa có thể bó thành bó Thù Du (sử dụng trước 12 tháng 11).		Đã khóa	\script\online\zgc_goods_use.lua		2	1		
Rượu hoa cúc	2	0	549	1	0	99												\image\item\usable\food_019a1.spr	\image\item\usable\food_019a0.spr	Do 9 đóa hoa cúc vàng ủ thành, uống vào tiết Trùng Dương. Người chơi cấp 80 sau khi uống sẽ nhận được 3000000 điểm kinh nghiệm, điểm sẽ thay đổi tùy vào cấp độ.		Đã khóa	\script\item\juhuajiu.lua		2	1		
Bánh hoa cúc	2	0	550	1	0	99												\image\item\other\holi_013a1.spr	\image\item\other\holi_013a0.spr	Do 9 đóa hoa cúc tím tạo thành, ăn vào tiết Trùng Dương. Ngươi chơi cấp 80 sau khi ăn sẽ nhận được 1000000 điểm kinh nghiệm, điểm sẽ thay đổi tùy theo cấp độ. 		Đã khóa	\script\item\juhuagao.lua		2	1		
Bó thù du	2	0	551	1	0	99												\image\item\usable\medi_001a1.spr	\image\item\usable\medi_001a0.spr	Do 9 đóa phù du tạo thành, dùng trong tiết Trùng Dương. Người chơi cấp 80 sau khi dùng sẽ nhận được 1500000 điểm kinh nghiệm, điểm sẽ thay đổi tùy theo cấp độ.		Đã khóa	\script\item\zhuyushu.lua		2	1		
Tiểu Nhân sâm quả	2	0	552	1	0	1												\image\item\other\éĂẩậ²ẻạỷa1.spr	\image\item\other\éĂẩậ²ẻạỷa0.spr	Đạo gia mật quả<enter><color=Gold>Sử dụng mật tịch tốc độ luyện công tăng gấp 2, duy trì 4 giờ		Thần bí	\script\item\item_billing\xiaorenshenguo.lua		0	1		
Đại Nhân sâm	2	0	553	1	0	1												\image\item\other\´úẩậ²ẻạỷa1.spr	\image\item\other\´úẩậ²ẻạỷa0.spr	Đạo gia mật quả <enter><color=Gold>Sử dụng mật tịch tốc độ luyện công tăng gấp 4 lần, duy trì 4 giờ		Thần bí	\script\item\item_billing\darenshenguo.lua		0	1		
Tu Chân Yếu Quyết	2	0	554	1	0	999												\image\item\other\éịếổềêắữa1.spr	\image\item\other\éịếổềêắữa0.spr	Tâm đắc võ học của các vị tiền bối truyền lại.<enter><color=Gold>(chứa 1000 điểm tu luyện)		Thần bí	\script\item\item_billing\xiuzhenyaojue.lua		0	1		
Càn Khôn phù	2	0	555	1	0	1												\image\item\other\ầơÀÔãỷa1.spr	\image\item\other\ầơÀÔãỷa0.spr	Có thể tạm xóa bỏ hạn chế giao dịch của một vài vật phẩm quý nào đó<enter><color=Gold>(thích hợ sử dụng: Đông Phương Long Châu, Cát Tường, Như ý, Hằng Nga Nguyệt Vũ Đai, Hậu Nghị Lạc Dương Hoàn, Bộ Trang Bị Sư Môn 4)		Thần bí	\script\item\item_billing\qiankunfu.lua		0	1		
Thế Thân phù	2	0	556	1	0	99												\image\item\other\èổẫớãỷa1.spr	\image\item\other\èổẫớãỷa0.spr	Sử dụng trước khi nhân vật trọng thương sẽ không bị trừng phạt đồng thời hồi sinh đầy sinh lực; sử dụng sau khi nhân vật trọng thương sẽ có mức độ trừng phạt nhưng không bị ảnh hưởng nội ngoại thương		Thần bí	\script\item\item_billing\tishenfu.lua		0	1		
Thuần Thú Tiêu_Tiểu Niên Thú	2	0	557	1	0	99														Dùng để huấn luyện thú, sử dụng có thể gọi Tiểu Niên Thú.		Thần bí						
Thuần Thú Tiêu_Thỏ rừng	2	0	558	1	0	99														Dùng để huấn luyện Thỏ rừng, sử dụng có thể gọi Thỏ rừng.		Thần bí						
Thuần Thú Tiêu_Mã Hầu	2	0	559	1	0	99														Dùng để huấn luyện Mã Hầu, sử dụng có thể gọi Mã Hầu.		Thần bí						
Thuần Thú Tiêu_Bạch Đầu Điêu	2	0	560	1	0	99														Dùng để huấn luyện Bạch Đầu Điêu, sử dụng có thể gọi Bạch Đầu Điêu.		Thần bí						
Thuần Thú Tiêu_Hồ Ly	2	0	561	1	0	99														Dùng để huấn luyện Hồ Ly, sử dụng có thể gọi Hồ Ly.		Thần bí						
Thuần Thú Tiêu_Tử Dạ Hổ	2	0	562	1	0	99														Dùng để huấn luyện Tử Dạ Hổ, sử dụng có thể gọi Tử Dạ Hổ.		Thần bí						
Thuần Thú Tiêu_Hắc Tinh Tinh	2	0	563	1	0	99														Dùng để huấn luyện Hắc Tinh Tinh, sử dụng có thể gọi Hắc Tinh Tinh		Thần bí						
Thuần Thú Tiêu_Dạ Xoa Nha	2	0	564	1	0	99														Dùng để huấn luyện Dạ Xoa Nha, sử dụng có thể gọi Dạ Xoa Nha.		Thần bí						
Thuần Thú Tiêu_Dã Mao Tượng	2	0	565	1	0	99														Dùng để huấn luyện Dã Mao Tượng, sử dụng có thể gọi Dã Mao Tượng.		Thần bí						
Thuần Thú Tiêu_Heo rừng	2	0	566	1	0	99														Dùng để huấn luyện Heo rừng, sử dụng có thể gọi Heo rừng.		Thần bí						
Bùa chú Mộc nhân	2	0	567	1	0	99														Dùng để khống chế mộc nhân, sử dụng có thể gọi mộc nhân.		Thần bí						
Bùa chú Đồng nhân	2	0	568	1	0	99														Dùng để khống chế đồng nhân, sử dụng có thể gọi đồng nhân.		Thần bí						
Thuần Thú Tiêu_Gấu xám	2	0	569	1	0	99														Dùng để huấn luyện Gấu xám, sử dụng có thể gọi Gấu xám.		Thần bí						
Bùa chú Hỏa Kỳ Lân	2	0	570	1	0	99														Bùa chú Du Phương đạo sĩ khống chế Hỏa Kỳ Lân.		Thần bí						
Bùa chú Kiếm Hồn	2	0	571	1	0	99														Bùa chú Du Phương đạo khống chế Kiếm Hồn.		Thần bí						
Lệnh bài Nữ Kiếm khách	2	0	572	1	0	99														Mật lệnh dùng để chỉ huy Nữ Kiếm Khách.		Thần bí						
Nhánh thông giáo hội	2	0	573	1	0	1												\image\item\shengdan\ấƠàđấữệƯa1.spr	\image\item\shengdan\ấƠàđấữệƯa0.spr	Cây Giáng Sinh của Giáo sĩ, mỗi ngày có thể dựng thử 1 cây giáng sinh.		Nhiệm vụ	\script\online\xmas_07_viet\xmas_seed.lua		0	0		
Nhánh thông mỹ lệ	2	0	574	1	0	1												\image\item\shengdan\ấƠàđấữệƯa1.spr	\image\item\shengdan\ấƠàđấữệƯa0.spr	Cành cây Giáng sinh, mỗi ngày có thể dựng thử 1 cây giáng sinh.		Nhiệm vụ	\script\online\xmas_07_viet\xmas_seed.lua		0	0		
Nhánh thông đẹp	2	0	575	1	0	1												\image\item\shengdan\ấƠàđấữệƯa1.spr	\image\item\shengdan\ấƠàđấữệƯa0.spr	Cành cây Giáng sinh, mỗi ngày có thể dựng thử 1 cây giáng sinh.		Nhiệm vụ	\script\online\zgc_goods_use.lua		0	0		
Nhánh thông BH	2	0	576	1	0	1												\image\item\shengdan\ấƠàđấữệƯa1.spr	\image\item\shengdan\ấƠàđấữệƯa0.spr	Bang chủ mới có giống cây này, mỗi ngày có thể dựng thử 1 cây Giáng sinh bang hội. Nhấn chuột phải để sử dụng.		Nhiệm vụ	\script\online\zgc_goods_use.lua		0	0		
Vật tr.trí thông GH	2	0	577	1	0	1												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Trang sức trang trí cây Giáng Sinh do Giáo sĩ phát, có thể treo trên cây Giáng sinh của giáo hội.		Nhiệm vụ			0	0		
Vật trang trí 1	2	0	578	1	0	1												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật trang trí trên cây Giáng Sinh.		Nhiệm vụ			0	0		
Vật trang trí 2	2	0	579	1	0	1												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật trang trí trên cây Giáng Sinh.		Nhiệm vụ			0	0		
Vật trang trí 3	2	0	580	1	0	1												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật trang trí trên cây Giáng Sinh.		Nhiệm vụ			0	0		
Vật trang trí 4	2	0	581	1	0	1												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật trang trí trên cây Giáng Sinh.		Nhiệm vụ			0	0		
Vật tr.trí thông BH 1	2	0	582	1	0	5												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật phẩm trang trí trên cây Giáng Sinh bang hội		Nhiệm vụ			0	0		
Vật tr.trí thông BH 2	2	0	583	1	0	5												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật phẩm trang trí trên cây Giáng Sinh bang hội		Nhiệm vụ			0	0		
Vật tr.trí thông BH 3	2	0	584	1	0	5												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Vật phẩm trang trí trên cây Giáng Sinh bang hội		Nhiệm vụ			0	0		
Trứng	2	0	585	1	0	5												\image\item\other\éầéầÀủằăa1.spr	\image\item\other\éầéầÀủằăa0.spr	Chưa biết để làm gì. Nhấn chuột phải để sử dụng		Nhiệm vụ	\script\online\zgc_goods_use.lua		0	0		
Hộp quà Nguyên Đán	2	0	586	1	0	5												\image\item\shengdan\ấƠàđÀủ°ỹa1.spr	\image\item\shengdan\ấƠàđÀủ°ỹa0.spr	Chiếc hộp nhỏ, không biết bên trong chứa vật gì.		Nhiệm vụ	\script\online\zgc_goods_use.lua		0	0		
Chỉ nam hoạt động lễ Giáng Sinh	2	0	587	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a2.spr	Quyển sổ nhỏ ghi lại câu chuyện lễ Giáng Sinh.		Nhiệm vụ	\script\online\zgc_goods_use.lua		0	0		
Lương thảo-sơ cấp	2	0	588	1	0	30												\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	Lương thảo thường		Đã khóa			2	1		
Lương thảo-trung cấp	2	0	589	1	0	30												\image\item\usable\edib_006a1.spr	\image\item\usable\edib_006a0.spr	Lương thảo		Đã khóa			2	1		
Lương thảo-cao cấp	2	0	590	1	0	30												\image\item\usable\edib_005a1.spr	\image\item\usable\edib_005a0.spr	Lương thảo thượng hạng		Đã khóa			2	1		
Cuốc lương thảo	2	0	591	1	0	1												\image\item\tools\tool_006a1.spr	\image\item\tools\tool_006a0.spr	Khi bạn xác định được nơi có lương thảo, nhận chuột phải để sử dụng và thu thập. Có thể bỏ vào thanh phím tắt để sử dụng nhanh chóng		Đã khóa	\script\newbattles\resourcebattle\hoe_item.lua		2	1		
Sơn tặc-chiến cổ	2	0	592	1	0	99												\image\item\other\ẫẵễụếẵạÄa1.spr	\image\item\other\ẫẵễụếẵạÄa0.spr	Sử dụng Sơn tặc chiến cổ có thể làm đối phương bị choáng (Giãn cách xuất chiêu 5 giây).		Đã khóa	\script\newbattles\resourcebattle\drum_item.lua		2	1		
Sơn tặc-binh kỳ	2	0	593	1	0	99												\image\item\ring\ẵôắỹÁợặỡ2a1.spr	\image\item\ring\ẵôắỹÁợặỡ2a0.spr	Sử dụng vật phẩm có thể gọi 1 tên Sơn tặc xuất hiện để cướp lương thảo của đối phương, giảm điểm tích lũy của đối phương và chuyển điểm tích lũy của đối phương về phía mình..		Đã khóa	\script\newbattles\resourcebattle\flag_item.lua		2	1		
Huyền thiết khoáng thạch	2	0	594	1	0	99												\image\item\other\ormeta_007a1.spr	\image\item\other\ormeta_007a0.spr	Khoáng thạch tuyệt phẩm, là nguyên liệu để đúc luyện binh khí, nghe nói Mộ lương quan của 2 nước Tống Liêu và Sơn tặc đầu mục đang thu thập vật phẩm này.		Đã khóa			2	1		
Hướng dẫn chiến trường	2	0	595	1	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Trợ thủ giúp bạn tung hoành trên sa trường.		Đã khóa	\script\newbattles\battle_book_item.lua		2	1		
Trường Không Bao	2	0	596	1	0	1												\image\item\other\³Ô¿ế°ỹ(x).spr	\image\item\other\³Ô¿ế°ỹ(d).spr	<enter><color=Gold>Chứa Trường Không Ngoại Trang của bất kỳ môn phái		Thần bí	\script\item\changkong.lua		0	1		
Sinh đồ chứng thư	2	0	597	1	0	999												\image\item\other\ẫỳễ±ệÔấộa1.spr	\image\item\other\ẫỳễ±ệÔấộa0.spr	Chứng thư do Thố Tiểu Nha phát, phía trên có viết 2 chữ Sinh viên		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Tú tài chứng thư	2	0	598	1	0	999												\image\item\other\éó²ÅệÔấộa1.spr	\image\item\other\éó²ÅệÔấộa0.spr	Chứng thư do Thố Tiểu Nha phát, phía trên có viết 2 chữ Tú tài		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Cử nhân chứng thư	2	0	599	1	0	999												\image\item\other\ắÙẩậệÔấộa1.spr	\image\item\other\ắÙẩậệÔấộa0.spr	Chứng thư do Thố Tiểu Nha phát, phía trên có viết 2 chữ Cử nhân		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Cống sĩ chứng thư	2	0	600	1	0	999												\image\item\other\ạ±ấ¿ệÔấộa1.spr	\image\item\other\ạ±ấ¿ệÔấộa0.spr	Chứng thư do Thố Tiểu Nha phát, phía trên có viết 2 chữ Cống sĩ		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Tiến sĩ chứng thư	2	0	601	1	0	999												\image\item\other\ẵứấ¿ệÔấộa1.spr	\image\item\other\ẵứấ¿ệÔấộa0.spr	Chứng thư do Thố Tiểu Nha phát, phía trên có viết 2 chữ Tiến sĩ		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Học sĩ chứng thư	2	0	602	1	0	999												\image\item\other\ẹĐấ¿ệÔấộa1.spr	\image\item\other\ẹĐấ¿ệÔấộa0.spr	Quan khoa khảo Thố Tiểu Nha ký phát, trên đó viết 2 chữ 'Học sĩ', nhìn kỹ dường như không có huyền cơ.		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
Văn thư các học sĩ chứng thư	2	0	603	1	0	999												\image\item\other\ẻÄấộáúẹĐấ¿ệÔấộa1.spr	\image\item\other\ẻÄấộáúẹĐấ¿ệÔấộa0.spr	Quan khoa khảo Thố Tiểu Nha ký phát, trên đó viết 'Văn Thư Các Học Sĩ', nhìn kỹ dường như không có huyền cơ.		Thần bí	\script\online\abluemoon\item\exam_certificate.lua		0	1		
